filepath,class,split
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_23.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_55.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_37.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_64.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_16.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_3.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_42.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_26.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_24.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_56.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_69.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_45.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_13.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_28.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_4.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_32.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_36.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_53.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_46.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_51.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_17.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_27.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_30.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_2.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_48.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_5.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_58.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_8.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_50.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_31.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_65.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_18.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_63.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_29.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_59.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_19.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_1.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_67.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_6.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_68.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_54.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_33.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_62.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_47.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_20.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_7.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_57.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_bengal/Image_44.jpg,tiger_bengal,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_siberian/Image_9.jpg,tiger_siberian,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_siberian/Image_14.jpg,tiger_siberian,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_siberian/Image_11.jpg,tiger_siberian,train
/content/drive/MyDrive/animal_dataset/dataset/train/tiger_siberian/Image_3.jpg,tiger_siberian,train
